Year,F,M
1880,5.773885350318471,5.63421550094518
1881,5.750533049040512,5.60140562248996
1882,5.80544747081712,5.647861692447679
1883,5.77134724857685,5.621359223300971
1884,5.795221843003413,5.6337777777777776
1885,5.772765246449457,5.644484958979033
1886,5.789391575663027,5.618918918918919
1887,5.764931087289433,5.582942830365511
1888,5.757123473541384,5.628717077315208
1889,5.743069641649764,5.615661566156616
1890,5.773142112125163,5.623600344530577
1891,5.78016960208741,5.627329192546584
1892,5.813365442504515,5.632539682539683
1893,5.791162227602905,5.6471586089906705
1894,5.8160987074030555,5.623890234059726
1895,5.8246681415929205,5.662369057211926
1896,5.8273972602739725,5.631121642969984
1897,5.827682045580878,5.6550040683482505
1898,5.844556962025316,5.676493405740884
1899,5.825190010857764,5.6825
1900,5.875393612235717,5.679946879150067
1901,5.870303654143077,5.6735537190082646
1902,5.8824681684622915,5.691666666666666
1903,5.924627940470475,5.704441041347627
1904,5.920554272517321,5.7125448028673835
1905,5.915398388540734,5.702322308233638
1906,5.923873873873874,5.738853503184713
1907,5.943726552730304,5.752743705616527
1908,5.967953985209531,5.774621212121212
1909,6.000392464678179,5.756998213222156
1910,6.0132616487455195,5.789015769439913
1911,6.028591352859135,5.813406703351676
1912,6.041799709724238,5.85473321858864
1913,6.072565416779066,5.859245630174793
1914,6.095577746077033,5.8752327746741155
1915,6.141131467686733,5.854669703872437
1916,6.1360201511335015,5.87805953693495
1917,6.175706214689265,5.874402433724468
1918,6.17170993733214,5.893205900685643
1919,6.193020327397014,5.887110187110187
1920,6.2065198543436795,5.891360994187212
1921,6.21175468483816,5.901905717151454
1922,6.237346692002073,5.909804711093215
1923,6.245687401986409,5.89437194127243
1924,6.232542372881356,5.922535211267606
1925,6.243631952867787,5.9274707211834805
1926,6.230345072927784,5.915650196402729
1927,6.231702963227419,5.951885023953343
1928,6.252941176470588,5.93711623967817
1929,6.23611900701156,5.948294829482948
1930,6.236516104440633,5.935490973139586
1931,6.225793491361992,5.924785929183059
1932,6.2481365241271085,5.9114899579635685
1933,6.229312474269246,5.9102502406159765
1934,6.234667202895636,5.911079410366144
1935,6.241569589209075,5.90832328106152
1936,6.219728171334432,5.91107257864751
1937,6.252129817444219,5.92363184079602
1938,6.25045045045045,5.912019826517968
1939,6.248282828282829,5.886088709677419
1940,6.258654994031039,5.922783845567691
1941,6.265145554681354,5.909795102448776
1942,6.263666790628487,5.898862512363996
1943,6.259687034277198,5.891831683168316
1944,6.242227732214381,5.899462778204144
1945,6.2443723769553605,5.906423473433783
1946,6.24832922968695,5.922598307615729
1947,6.253276539973788,5.91024138739161
1948,6.271312696573415,5.919980947844725
1949,6.268622280817403,5.934823977164605
1950,6.247913598429062,5.941835518474374
1951,6.271044583936907,5.942158476369621
1952,6.249960870245735,5.921052631578948
1953,6.235955056179775,5.9315668202764975
1954,6.2181132075471695,5.921788990825688
1955,6.219465081723626,5.918446160835984
1956,6.229317851959362,5.912643161913317
1957,6.204247434435576,5.893939393939394
1958,6.213138063415328,5.8947835738068814
1959,6.230929553980825,5.891076115485564
1960,6.2251637554585155,5.904067870350229
1961,6.263674986723314,5.895313843508169
1962,6.265322261763543,5.91961970613656
1963,6.266249021143304,5.918848734040251
1964,6.277514413837284,5.933159155236229
1965,6.2957652993495286,5.932881355932204
1966,6.298871687221202,5.939867841409692
1967,6.298777381558838,5.950560316413975
1968,6.308527510064658,5.925200168563
1969,6.320854386770786,5.926829268292683
1970,6.3351507376523415,5.9570902394106815
1971,6.349367613518557,5.962877850450769
1972,6.349337748344371,5.9801773604590505
1973,6.350260018354237,5.994213750850919
1974,6.3501512637845225,6.021655838747293
1975,6.349157012338702,6.002840909090909
1976,6.357836846929422,6.007698229407237
1977,6.364583333333333,6.0033527696793
1978,6.375141636886603,6.005029585798817
1979,6.373987135577646,6.012305516265912
1980,6.35578029929288,6.006854949273375
1981,6.364851566344104,6.008095499451152
1982,6.369586374695864,6.020084136246438
1983,6.373457045812278,6.007898679014027
1984,6.391543513957307,6.023167075497411
1985,6.404158336665334,6.022011335178595
1986,6.4201667575781185,6.0573508749521014
1987,6.450241254523522,6.093596663395486
1988,6.460236277193488,6.102684879886953
1989,6.473470790378006,6.115155454446972
1990,6.468294604174872,6.1280699905133345
1991,6.470968576231734,6.128834991708126
1992,6.4703433256469385,6.141955193482689
1993,6.451484271156402,6.135804897236699
1994,6.435262757044935,6.138826515669238
1995,6.414206817749,6.159341723136496
1996,6.387654942427484,6.156350863869375
1997,6.38423462442767,6.159160270045316
1998,6.365903614457832,6.146772767462423
1999,6.339588127692217,6.124537076909827
2000,6.334560280876607,6.122875061891401
2001,6.32181797952826,6.103941487200325
2002,6.316173624550733,6.100096092248559
2003,6.30769647990454,6.091935104632024
2004,6.3029949022939675,6.07537042636831
2005,6.306345733041575,6.0819868342309995
2006,6.321020886296795,6.087458158250837
2007,6.31597104125164,6.085313324996527
2008,6.3270329670329675,6.065526675786594
2009,6.324535776182223,6.060616485482317
2010,6.323551656330358,6.0483599663582845
2011,6.32562295751634,6.031482900327366
2012,6.315204588518462,6.0240016843287245
2013,6.315431714404317,5.99985779294653
2014,6.320087381670654,5.98081977694111
2015,6.3053957962982325,5.977592829705506
2016,6.292368839427663,5.968807210252077
2017,6.2841180299414185,5.946880920637148
2018,6.258640648255334,5.950294263631851
2019,6.237005775211017,5.936393256835246
2020,6.204981718464351,5.902249750818738
2021,6.195081874327157,5.901136363636364
2022,6.183407591224409,5.891482076724198
2023,6.174413962242628,5.899639550498269
